Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetG/c201.txt;0;1000000.000000;true;0.000000;3;1075.898;1082.507;1082.507;763;817;1634;21640;613;7819.486;64239.264;78.000;114.000;2568.229;34236.762;69378.726;70793;0.006;0.000;1389.300;-306.793;1195.000;false;1081.823
/SetG/c202.txt;0;1000000.000000;true;0.000000;7;1073.624;1080.476;1080.476;2290;2282;4564;68592;1213;23225.525;2137687.240;439.000;2785.000;62667.650;574204.851;2224117.389;2226049;0.006;-0.000;1305.000;-224.524;925.000;false;1079.793
/SetG/c203.txt;0;1000000.000000;false;-1.000000;1;1039.754;1039.754;1000000.000;572;517;1034;14052;326;4534.946;1027255.742;44.000;111.000;56127.723;606564.284;1099657.247;1102414;960.766;960.766;1272.700;998727.300;-1.000;false;-1.000
/SetG/c205.txt;0;1000000.000000;true;0.000000;1;1066.831;1066.831;1066.831;546;596;1192;13300;802;7886.087;228098.155;119.000;377.000;1248.485;231655.122;230097.697;231656;0.000;0.000;1312.100;-245.269;6697.000;false;1066.147
/SetG/c206.txt;0;1000000.000000;true;0.000000;3;1063.568;1068.350;1068.350;948;1016;2032;30642;1140;14463.705;559027.036;169.000;605.000;28906.635;407166.271;593388.959;594974;0.004;0.000;1312.600;-244.250;3676.000;false;1067.667
/SetG/c207.txt;0;1000000.000000;false;-1.000000;5;1046.193;1055.974;1000000.000;1581;1498;2996;44328;790;14988.464;2156405.951;106.000;566.000;37676.654;255046.650;2237714.686;2239457;954.846;945.993;1280.400;998719.600;-1.000;false;-1.000
/SetG/r101.txt;0;1000000.000000;true;0.000000;13;2440.347;2521.401;2521.401;933;478;956;38132;740;350.537;47031.075;1109.000;49.000;5030.227;17570.928;56371.823;61384;0.033;0.000;2333.500;187.901;81.000;false;2519.435
/SetG/r102.txt;0;1000000.000000;true;0.000000;25;2249.043;2298.328;2298.328;2089;1318;2636;91519;7824;2698.425;483023.084;4669.000;1810.000;51760.382;83157.515;569749.000;575709;0.022;0.000;2136.800;161.528;0.000;false;2297.003
/SetG/r103.txt;0;1000000.000000;true;0.000000;81;1914.315;1975.153;1975.153;8003;5832;11664;267858;46080;24797.385;2652293.429;33794.000;13967.000;272652.563;206901.846;3054890.752;3061664;0.032;0.000;1942.700;32.453;0.000;false;1973.828
/SetG/r104.txt;0;1000000.000000;true;-1.000000;19;1621.877;1662.597;1735.840;2688;2344;4688;84634;12142;15112.902;3090908.241;4194.000;7983.000;381911.484;267777.327;3593664.561;3602167;0.070;0.044;1777.200;-41.360;122.000;false;1734.516
/SetG/r105.txt;0;1000000.000000;true;0.000000;23;2123.375;2181.004;2181.004;2413;1871;3742;87497;16098;10614.684;1587464.737;12651.000;3148.000;90659.053;95742.958;1721687.585;1727215;0.027;0.000;2096.800;84.204;164.000;false;2179.679
/SetG/r106.txt;0;1000000.000000;true;-1.000000;27;1959.889;2007.141;2045.326;3432;2879;5758;142909;27917;25738.679;3311762.230;22271.000;8279.000;187279.878;195427.418;3593798.752;3600202;0.044;0.019;1992.400;52.926;292.000;false;2044.002
/SetG/r107.txt;0;1000000.000000;true;-1.000000;33;1758.892;1795.315;1867.970;3952;3065;6130;112330;18835;26435.183;3090066.934;15320.000;14181.000;390501.347;179331.610;3609295.384;3616785;0.062;0.040;1779.200;88.770;151.000;false;1867.085
/SetG/r108.txt;0;1000000.000000;false;-1.000000;19;1601.611;1613.364;1000000.000;2070;1493;2986;19762;4612;6721.444;2506394.352;659.000;5886.000;929906.656;277426.314;3597766.629;3606010;623.371;618.823;1654.300;998345.700;-1.000;false;-1.000
/SetG/r109.txt;0;1000000.000000;true;-1.000000;15;1903.670;1917.926;2001.181;2181;1997;3994;42347;18366;22421.564;3324841.623;13758.000;9254.000;201788.268;179364.805;3596205.292;3602110;0.051;0.043;1925.900;75.281;49.000;false;1999.173
/SetG/r110.txt;0;1000000.000000;true;-1.000000;17;1800.180;1814.418;1878.226;2244;1987;3974;73150;19250;21481.858;3268800.117;13885.000;8803.000;222132.390;247531.323;3594314.756;3600798;0.043;0.035;1833.600;44.626;63.000;false;1876.902
