Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetI/r201.txt;0;1000000.000000;true;0.000000;1;842.189;842.189;842.189;125;139;278;3867;475;197.748;10471.066;53.000;109.000;331.928;11836.128;11018.905;11837;0.000;0.000;1587.800;-745.611;0.000;false;841.732
/SetI/r202.txt;0;1000000.000000;true;0.000000;3;786.424;786.507;786.507;397;368;736;10321;1417;859.075;275823.726;249.000;1346.000;12996.491;200929.099;293895.954;295061;0.000;0.000;1530.800;-744.293;0.000;false;786.049
/SetI/r203.txt;0;1000000.000000;true;0.000000;5;729.431;741.634;741.634;749;710;1420;17883;3197;3068.472;500720.842;488.000;3805.000;23461.524;340013.195;535978.177;537574;0.017;0.000;1255.100;-513.466;0.000;false;741.177
/SetI/r204.txt;0;1000000.000000;false;-1.000000;9;655.114;664.354;1000000.000;1923;1679;3358;44334;991;7347.167;3452548.113;62.000;705.000;139703.919;451960.993;3627866.910;3629671;1525.452;1504.223;1191.700;998808.300;-1.000;false;-1.000
/SetI/r205.txt;0;1000000.000000;true;0.000000;3;733.468;748.334;748.334;467;439;878;16709;1660;1570.150;187070.418;202.000;1926.000;8482.939;97595.249;200705.529;201681;0.020;0.000;1319.100;-570.766;0.000;false;747.877
/SetI/r206.txt;0;1000000.000000;true;0.000000;1;682.544;682.544;682.544;212;241;482;9714;382;499.019;309158.842;12.000;293.000;5008.471;315960.607;314674.418;315961;0.000;0.000;1228.300;-545.756;0.000;false;681.098
/SetI/r207.txt;0;1000000.000000;true;0.000000;3;660.149;661.488;661.488;481;465;930;19538;407;2371.869;1116144.548;21.000;276.000;52198.257;601934.553;1174668.222;1176267;0.002;0.000;1140.200;-478.712;0.000;false;660.042
/SetI/r208.txt;0;1000000.000000;true;0.000000;1;612.747;612.747;612.747;261;287;574;14868;282;702.769;966402.588;9.000;122.000;13091.071;981866.317;980027.077;981867;0.000;0.000;1050.200;-437.453;0.000;false;611.301
/SetI/r209.txt;0;1000000.000000;false;-1.000000;19;677.061;708.452;1000000.000;3203;2620;5240;54935;1512;8022.090;3145758.651;117.000;977.000;424974.006;97442.719;3608263.519;3609375;1475.972;1410.528;1258.700;998741.300;-1.000;false;-1.000
/SetI/r210.txt;0;1000000.000000;true;0.000000;5;726.674;748.686;748.686;865;834;1668;21307;5579;1975.729;573665.171;865.000;5500.000;25581.893;166115.258;613550.835;614844;0.030;-0.000;1279.800;-531.114;0.000;false;747.240
/SetI/r211.txt;0;1000000.000000;false;-1.000000;17;631.598;638.259;1000000.000;2491;2045;4090;37285;2480;5299.823;2923747.648;114.000;1307.000;639603.835;251978.188;3600843.331;3602254;1582.285;1565.761;1118.200;998881.800;-1.000;false;-1.000
/SetI/rc201.txt;0;1000000.000000;true;0.000000;1;711.048;711.048;711.048;95;104;208;3057;86;29.977;591.317;0.000;1.000;95.779;806.891;747.807;861;-0.000;-0.000;1787.600;-1076.552;0.000;false;709.601
/SetI/rc202.txt;0;1000000.000000;true;0.000000;3;675.041;688.675;688.675;302;258;516;9747;113;158.077;11539.455;36.000;5.000;928.545;5859.625;13004.202;13136;0.020;0.000;1513.800;-825.125;0.000;false;687.228
/SetI/rc203.txt;0;1000000.000000;true;0.000000;3;663.199;673.861;673.861;534;507;1014;17597;1711;2598.246;48558.410;152.000;1305.000;2670.700;29797.222;54752.654;54878;0.016;0.000;1416.200;-742.339;0.000;false;672.415
/SetI/rc204.txt;0;1000000.000000;true;0.000000;5;633.455;640.021;640.021;971;895;1790;33552;4473;4458.411;74540.307;566.000;4587.000;4806.655;26110.474;87687.216;87866;0.010;0.000;1188.200;-548.179;0.000;false;638.575
/SetI/rc205.txt;0;1000000.000000;true;0.000000;1;689.396;689.396;689.396;86;95;190;2578;86;23.600;1899.943;0.000;2.000;145.184;2174.426;2054.403;2175;0.000;0.000;1693.700;-1004.304;0.000;false;687.950
/SetI/rc206.txt;0;1000000.000000;true;0.000000;1;675.883;675.883;675.883;122;143;286;5578;747;1118.006;5971.203;14.000;325.000;155.108;6624.153;6505.467;6626;0.000;0.000;1583.100;-907.217;0.000;false;674.437
/SetI/rc207.txt;0;1000000.000000;true;0.000000;3;636.728;642.773;642.773;342;350;700;15130;1364;727.618;36045.231;142.000;909.000;2328.049;18981.568;40241.742;40373;0.009;0.000;1449.800;-807.027;0.000;false;641.327
/SetI/rc208.txt;0;1000000.000000;true;0.000000;3;584.820;596.334;596.334;399;350;700;16384;254;590.829;70904.199;1.000;169.000;6493.452;50406.528;78467.358;78622;0.020;0.000;1257.300;-660.966;0.000;false;594.888
